id,year,habitat,habitat_forest,habitat_urban,habitat_open,habitat_misc,dataset
134309,2001,Open,0,0,1,0,MODIS
78963,2001,Open,0,0,1,0,MODIS
42891,2002,Forest,1,0,0,0,MODIS
25593,2002,Open,0,0,1,0,MODIS
78964,2003,Open,0,0,1,0,MODIS
139117,2004,Open,0,0,1,0,MODIS
71684,2004,Open,0,0,1,0,MODIS
29756,2005,Open,0,0,1,0,MODIS
328916,2005,Open,0,0,1,0,MODIS
122771,2006,Urban,0,1,0,0,MODIS
833621,2006,Forest,1,0,0,0,MODIS
29311,2006,Open,0,0,1,0,MODIS
29309,2006,Open,0,0,1,0,MODIS
833622,2007,Forest,0.8397435897435898,0,0.1602564102564102,0,MODIS
348077,2007,Open,0,0,1,0,MODIS
281645,2007,Forest,0.9290322580645162,0,0.070967742,0,MODIS
281644,2007,Forest,0.9290322580645162,0,0.070967742,0,MODIS
281640,2007,Open,0,0,1,0,MODIS
281639,2007,Open,0,0,1,0,MODIS
281638,2007,Forest,0.9290322580645162,0,0.070967742,0,MODIS
281636,2007,Forest,1,0,0,0,MODIS
281635,2007,Forest,0.9290322580645162,0,0.070967742,0,MODIS
28219,2007,Forest,1,0,0,0,MODIS
28216,2007,Forest,1,0,0,0,MODIS
348075,2007,Open,0,0,1,0,MODIS
281646,2007,Open,0,0,1,0,MODIS
281643,2007,Open,0,0,1,0,MODIS
163312,2007,Open,0,0,1,0,MODIS
155216,2007,Open,0,0,1,0,MODIS
142808,2007,Open,0,0,1,0,MODIS
29523,2007,Open,0,0,1,0,MODIS
29189,2007,Open,0,0,1,0,MODIS
443869,2008,Open,0,0,1,0,MODIS
281637,2008,Open,0,0,1,0,MODIS
54031,2008,Open,0,0,1,0,MODIS
54030,2008,Open,0,0,1,0,MODIS
28218,2008,Forest,1,0,0,0,MODIS
28214,2008,Open,0,0,1,0,MODIS
364826,2008,Open,0,0,1,0,MODIS
281649,2008,Open,0,0,1,0,MODIS
155715,2008,Open,0,0,1,0,MODIS
155699,2008,Open,0,0,1,0,MODIS
155698,2008,Open,0,0,1,0,MODIS
42312,2008,Forest,1,0,0,0,MODIS
28217,2008,Forest,1,0,0,0,MODIS
28186,2008,Open,0,0,1,0,MODIS
22724,2008,Open,0,0,1,0,MODIS
976634,2009,Forest,1,0,0,0,MODIS
348072,2009,Open,0,0,1,0,MODIS
42778,2009,Open,0,0,1,0,MODIS
32820,2009,Forest,1,0,0,0,MODIS
364849,2009,Open,0,0,1,0,MODIS
364846,2009,Open,0,0,1,0,MODIS
364841,2009,Open,0,0,1,0,MODIS
364834,2009,Open,0,0,1,0,MODIS
364833,2009,Open,0,0,1,0,MODIS
364832,2009,Open,0,0,1,0,MODIS
364831,2009,Open,0,0,1,0,MODIS
364827,2009,Open,0,0,1,0,MODIS
348073,2009,Open,0,0,1,0,MODIS
281642,2009,Open,0,0,1,0,MODIS
206520,2009,Open,0,0,1,0,MODIS
206519,2009,Open,0,0,1,0,MODIS
91118,2009,Forest,0.9290322580645162,0,0.070967742,0,MODIS
91116,2009,Forest,0.9290322580645162,0,0.070967742,0,MODIS
91115,2009,Forest,0.9290322580645162,0,0.070967742,0,MODIS
91114,2009,Forest,0.9290322580645162,0,0.070967742,0,MODIS
67202,2009,Open,0,0,1,0,MODIS
67200,2009,Open,0,0,1,0,MODIS
67199,2009,Open,0,0,1,0,MODIS
43819,2009,Open,0,0,1,0,MODIS
41061,2009,Urban,0,1,0,0,MODIS
36710,2009,Open,0,0,1,0,MODIS
35584,2009,Open,0,0,1,0,MODIS
35325,2009,Open,0,0,1,0,MODIS
33631,2009,Open,0,0,1,0,MODIS
33630,2009,Open,0,0,1,0,MODIS
33361,2009,Open,0,0,1,0,MODIS
31634,2009,Forest,1,0,0,0,MODIS
356362,2010,Open,0,0,1,0,MODIS
55174,2010,Open,0.2115384615384615,0,0.7884615384615385,0,MODIS
53725,2010,Open,0,0,1,0,MODIS
43762,2010,Open,0,0,1,0,MODIS
43761,2010,Open,0,0,1,0,MODIS
43760,2010,Open,0,0,1,0,MODIS
43759,2010,Open,0,0,1,0,MODIS
43758,2010,Open,0,0,1,0,MODIS
367293,2010,Open,0,0,1,0,MODIS
365623,2010,Open,0,0,1,0,MODIS
365620,2010,Open,0,0,1,0,MODIS
193403,2010,Open,0,0,1,0,MODIS
101540,2010,Forest,1,0,0,0,MODIS
91117,2010,Forest,0.9290322580645162,0,0.070967742,0,MODIS
83602,2010,Forest,0.8012820512820513,0,0.1987179487179487,0,MODIS
78966,2010,Forest,1,0,0,0,MODIS
67463,2010,Open,0,0.019354839,0.9806451612903224,0,MODIS
67097,2010,Open,0,0,1,0,MODIS
65714,2010,Open,0,0,1,0,MODIS
65478,2010,Forest,0.9871794871794872,0.012820513,0,0,MODIS
62114,2010,Forest,1,0,0,0,MODIS
62113,2010,Forest,1,0,0,0,MODIS
58613,2010,Urban,0,1,0,0,MODIS
56233,2010,Forest,0.9354838709677418,0,0.064516129,0,MODIS
48258,2010,Open,0,0,1,0,MODIS
48103,2010,Urban,0,1,0,0,MODIS
47920,2010,Open,0,0,1,0,MODIS
47356,2010,Open,0,0,1,0,MODIS
46532,2010,Urban,0,0.9807692307692308,0.019230769,0,MODIS
45953,2010,Open,0,0,1,0,MODIS
45809,2010,Forest,0.8974358974358975,0.1025641025641025,0,0,MODIS
45146,2010,Open,0,0.04516129,0.9548387096774194,0,MODIS
42404,2010,Urban,0,1,0,0,MODIS
595666,2011,Urban,0,1,0,0,MODIS
592652,2011,Forest,1,0,0,0,MODIS
592649,2011,Forest,1,0,0,0,MODIS
356364,2011,Open,0,0,1,0,MODIS
348069,2011,Open,0,0,1,0,MODIS
287801,2011,Open,0,0,1,0,MODIS
143091,2011,Urban,0,1,0,0,MODIS
120451,2011,Open,0,0,1,0,MODIS
120344,2011,Open,0,0,1,0,MODIS
120340,2011,Open,0,0,1,0,MODIS
120142,2011,Forest,1,0,0,0,MODIS
120134,2011,Forest,1,0,0,0,MODIS
112808,2011,Open,0.1666666666666666,0,0.8333333333333333,0,MODIS
95062,2011,Open,0,0,1,0,MODIS
89967,2011,Forest,1,0,0,0,MODIS
83707,2011,Urban,0,1,0,0,MODIS
76364,2011,Forest,0.935897436,0.064102564,0,0,MODIS
891342,2011,Open,0.1677419354838709,0,0.832258065,0,MODIS
891336,2011,Forest,0.9679487179487178,0,0.032051282,0,MODIS
830563,2011,Forest,1,0,0,0,MODIS
356363,2011,Open,0,0,1,0,MODIS
281648,2011,Urban,0,0.9745222929936304,0.025477707,0,MODIS
281641,2011,Open,0,0,1,0,MODIS
199180,2011,Open,0,0,1,0,MODIS
199169,2011,Open,0,0,1,0,MODIS
170696,2011,Open,0,0,1,0,MODIS
158898,2011,Forest,0.9161290322580644,0,0.083870968,0,MODIS
143093,2011,Open,0,0.1730769230769231,0.826923077,0,MODIS
143092,2011,Open,0.1935483870967741,0.083870968,0.7225806451612903,0,MODIS
143090,2011,Urban,0,1,0,0,MODIS
143089,2011,Urban,0,1,0,0,MODIS
134937,2011,Urban,0,1,0,0,MODIS
134934,2011,Urban,0,1,0,0,MODIS
134590,2011,Forest,1,0,0,0,MODIS
120347,2011,Open,0,0,1,0,MODIS
120343,2011,Open,0,0,1,0,MODIS
120342,2011,Open,0,0,1,0,MODIS
120330,2011,Open,0,0,1,0,MODIS
117164,2011,Open,0,0,1,0,MODIS
101022,2011,Forest,1,0,0,0,MODIS
93855,2011,Urban,0,1,0,0,MODIS
93854,2011,Urban,0,1,0,0,MODIS
91420,2011,Urban,0,1,0,0,MODIS
90568,2011,Open,0,0,1,0,MODIS
90387,2011,Urban,0,1,0,0,MODIS
89780,2011,Urban,0,1,0,0,MODIS
83306,2011,Forest,1,0,0,0,MODIS
80642,2011,Urban,0,1,0,0,MODIS
78967,2011,Forest,1,0,0,0,MODIS
78162,2011,Open,0,0,1,0,MODIS
78161,2011,Open,0,0,1,0,MODIS
76556,2011,Urban,0,1,0,0,MODIS
74822,2011,Forest,1,0,0,0,MODIS
74816,2011,Forest,0.7290322580645161,0,0.2709677419354839,0,MODIS
74084,2011,Forest,1,0,0,0,MODIS
73012,2011,Forest,1,0,0,0,MODIS
72854,2011,Forest,1,0,0,0,MODIS
72819,2011,Open,0,0,1,0,MODIS
72795,2011,Open,0,0,1,0,MODIS
72621,2011,Open,0,0,1,0,MODIS
72579,2011,Open,0,0,1,0,MODIS
72537,2011,Urban,0,1,0,0,MODIS
71685,2011,Open,0,0,1,0,MODIS
71454,2011,Open,0,0,1,0,MODIS
70302,2011,Forest,0.9102564102564102,0,0.08974359,0,MODIS
303312,2012,Urban,0,1,0,0,MODIS
150189,2012,Urban,0,0.7197452229299364,0.2802547770700637,0,MODIS
114269,2012,Urban,0,1,0,0,MODIS
113902,2012,Urban,0,1,0,0,MODIS
113678,2012,Open,0,0.025806452,0.9741935483870968,0,MODIS
110680,2012,Forest,1,0,0,0,MODIS
110372,2012,Forest,1,0,0,0,MODIS
110371,2012,Forest,1,0,0,0,MODIS
103417,2012,Forest,0.98089172,0,0.01910828,0,MODIS
103416,2012,Forest,0.98089172,0,0.01910828,0,MODIS
101346,2012,Forest,0.9096774193548388,0,0.090322581,0,MODIS
101009,2012,Open,0.070512821,0,0.9294871794871796,0,MODIS
98274,2012,Urban,0,1,0,0,MODIS
97120,2012,Forest,0.8397435897435898,0,0.1602564102564102,0,MODIS
96983,2012,Open,0.1089743589743589,0,0.8910256410256411,0,MODIS
96982,2012,Forest,1,0,0,0,MODIS
96851,2012,Forest,1,0,0,0,MODIS
96140,2012,Open,0,0,1,0,MODIS
878806,2012,Forest,1,0,0,0,MODIS
878802,2012,Forest,1,0,0,0,MODIS
878800,2012,Forest,1,0,0,0,MODIS
815294,2012,Open,0,0.1806451612903225,0.8193548387096774,0,MODIS
284519,2012,Open,0,0,1,0,MODIS
217588,2012,Open,0.019354839,0,0.9806451612903226,0,MODIS
217579,2012,Open,0.019354839,0,0.9806451612903226,0,MODIS
204431,2012,Open,0,0,1,0,MODIS
170697,2012,Open,0,0.1273885350318471,0.8726114649681528,0,MODIS
170193,2012,Open,0,0,1,0,MODIS
169056,2012,Open,0,0,1,0,MODIS
169055,2012,Open,0,0,1,0,MODIS
